id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:49:09;COMPLETED;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:38:52;COMPLETED;Frozen Analyst card;redundant;2
3;2019-10-23T03:11:47;PENDING;Chips;navigating;3
4;2019-10-22T16:59:35;PENDING;Optimized;microchip;4
5;2019-10-22T17:51:06;CANCELLED;e-markets system;Organic;5
6;2019-10-23T01:09:11;PENDING;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:09:55;PENDING;online e-business;systems integrate;7
8;2019-10-22T18:54:57;PENDING;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:38:16;CANCELLED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:37:40;COMPLETED;yellow;Books Generic;10
